fly,split,start_time_s,frames_drawn,rollout_end_error_model_mm,rollout_end_error_physics_mm,onestep_median_model_mm,onestep_median_physics_mm,onestep_win_rate
69,train,1191.492431640625,3,0.02909806982811086,0.06338813049963116,0.02498894174060591,0.11739108352287571,0.9532710280373832
70,train,1290.495849609375,3,0.012448889901725308,0.1844894237445667,0.031190433028818697,0.13096712375329633,0.9626168224299065
71,train,1385.7783203125,3,0.0101601499565801,0.13061210588748282,0.028078892141984623,0.13014152852743988,0.9345794392523364
72,train,751.6765747070312,3,0.027102239603203595,0.3614021839391232,0.02483695259245155,0.1413548891809383,0.9626168224299065
73,train,1165.6544189453125,3,0.062175612935558004,0.07158654762406925,0.02145269393777723,0.13237824361418535,0.9626168224299065
74,test,1625.7030029296875,3,0.01627697933437966,0.09872151847273296,0.020663647255242657,0.11530433966853307,0.9439252336448598
75,train,1038.003662109375,3,0.04900334238635071,0.100441061658061,0.02733983693149478,0.12406402438299652,0.9813084112149533
76,val,1348.27685546875,3,0.015823517579767347,0.22390987613609548,0.0263197162786685,0.12901334807659073,0.9532710280373832
77,test,1717.1611328125,3,0.04791380573227598,0.0748510997901764,0.03118630003596997,0.1405209450882933,0.9252336448598131
78,train,1049.3538818359375,3,0.03179478303053075,0.19313333934140325,0.02623829625409543,0.13070316587177233,0.9532710280373832
79,test,1499.8656005859375,3,0.036808206814957604,0.1350592263857748,0.023429731961525604,0.09552175386308467,0.897196261682243
80,train,1341.080810546875,3,0.04919751626210059,0.20039040506333317,0.027408375688868124,0.12517160169418484,0.9532710280373832
81,train,950.0307006835938,3,0.021446059502793106,0.18518245416020326,0.02333544777265357,0.10857873569934895,0.9158878504672897
82,test,1666.65380859375,3,0.017975787760943877,0.12332229915214415,0.025743128532708732,0.13025080315244988,0.9813084112149533
83,train,1717.84423828125,3,0.008681646549045331,0.11371579174976841,0.026456507754921272,0.11881871398276919,0.9439252336448598
84,train,793.561279296875,3,0.028632881134549138,0.08845446755999299,0.02126176796722846,0.11421217240320333,0.9626168224299065
85,train,831.4937133789062,3,0.011715429658956908,0.3240077816516123,0.02224230977805721,0.11287229929637156,0.9065420560747663
86,train,973.1348266601562,3,0.012200242383887856,0.2190082533308112,0.023941656250807252,0.12855048121433701,0.9345794392523364
87,train,1116.65283203125,3,0.01351600081570587,0.04143349982633694,0.021174381753742155,0.10865279791547039,0.9532710280373832
88,val,1117.106201171875,3,0.02366096254794753,0.02459571144602392,0.021321224105426525,0.09166130534477897,0.9626168224299065
89,train,1171.4713134765625,3,0.02603361626905161,0.11882494885097648,0.025743671281973465,0.12612753266505172,0.9439252336448598
90,train,1709.4107666015625,3,0.05208319554902623,0.26343956966368615,0.025936300228097835,0.13199990973134867,0.9345794392523364
91,train,1308.3092041015625,3,0.013929894788783148,0.1371316401828654,0.018194509199729363,0.09946360318229867,0.9719626168224299
92,train,994.4522705078125,3,0.01470940059127539,0.19817794569301153,0.022326549014194008,0.12304524491230052,0.9813084112149533
93,train,1571.3177490234375,3,0.020999787004720757,0.09120483881560995,0.024944718823647606,0.1294116536318751,0.9345794392523364
94,val,442.3143005371094,3,0.03959341485092275,0.14437416358314298,0.02053641907894488,0.11787556866524318,0.9626168224299065
95,val,1183.4925537109375,3,0.004332097974339312,0.13000268936842832,0.027362861705638324,0.13000268936842826,0.9719626168224299
96,train,1475.185546875,3,0.11346163576852515,0.12471884491462223,0.0370929686158378,0.15480752057511915,0.9252336448598131
97,train,1138.0867919921875,3,0.015443510159100542,0.09333463798048486,0.027923423843903186,0.13823432168157007,0.9439252336448598
98,val,1589.0233154296875,3,0.013768225547026646,0.1271271189155845,0.022038546463958312,0.12304591146171803,0.9626168224299065
99,test,1182.5716552734375,3,0.007886153962270888,0.1161070060861955,0.020405672036571055,0.11814129578991704,0.9532710280373832
100,train,904.0460815429688,3,0.009699006909409521,0.06600756077376548,0.02450972420087401,0.11114024909440594,0.9439252336448598
101,train,1288.745849609375,3,0.022983917114332418,0.24644900203423029,0.03211475354983855,0.1748691998772069,0.9532710280373832
102,train,1117.52294921875,3,0.04018045031501183,0.16311138324060842,0.025685612619505277,0.14171008667589197,0.9813084112149533
103,train,1003.58251953125,3,0.038967236598809234,0.07887229690705858,0.025008173872912823,0.1172389162008549,0.9345794392523364
104,test,1534.054443359375,3,0.01277466722556927,0.13792752338892802,0.02544756025326534,0.14669907607233387,0.9813084112149533
105,train,1144.1539306640625,3,0.00808085481287967,0.07427438326325583,0.024530985896351276,0.10756552328615682,0.9532710280373832
106,train,1586.690185546875,3,0.039665359392666494,0.03671458836522694,0.026996000521574023,0.14866026665474602,0.9532710280373832
107,test,234.9407958984375,3,0.010564451617434939,0.059539488435285864,0.01893338867214761,0.088955346385445,0.9439252336448598
108,test,1629.8414306640625,3,0.027209255284282072,0.23262469599262026,0.02080121230961964,0.12419394662376844,0.9719626168224299
